author,avg_ratings,original_publish_year,title,awards,Root
Stephen King,"
  4.21
",1987,"
      The Drawing of the Three
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Nicholas Sparks,"
  4.21
",2010,"
      Safe Haven
",,undefined
Nancy E. Turner,"
  4.34
",1998,"
      These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories
",,undefined
Gillian Flynn,"
  3.93
",2009,"
      Dark Places
",,undefined
John Flanagan,"
  4.21
",2004,"
      The Ruins of Gorlan
",,undefined
Nicholas Evans,"
  3.82
",1995,"
      The Horse Whisperer
",,undefined
Dashiell Hammett,"
  3.90
",1929,"
      The Maltese Falcon
",,undefined
Robert Musil,"
  4.23
",1930,"
      The Man Without Qualities
","Prix du Meilleur Livre Étranger for Novel (1958), Национална награда „Христо Г. Данов“ for Преводна художествена литература (2009)",undefined
Colleen Houck,"
  4.06
",2011,"
      Tiger's Curse
",,undefined
Irvine Welsh,"
  3.93
",2012,"
      Skagboys
",,undefined
Arthur C. Clarke,"
  4.10
",1953,"
      Childhood's End
",,undefined
W. Somerset Maugham,"
  4.19
",1944,"
      The Razor's Edge
",,undefined
Friedrich Nietzsche,"
  4.05
",1883,"
      Thus Spoke Zarathustra
",,undefined
Brandon Sanderson,"
  4.35
",2007,"
      The Well of Ascension
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Rachel Hawkins,"
  3.93
",2010,"
      Hex Hall
",,undefined
Sarah Dessen,"
  4.06
",2009,"
      Along for the Ride
",,undefined
Cormac McCarthy,"
  4.00
",1992,"
      All the Pretty Horses
","National Book Award for Fiction (1992), National Book Critics Circle Award for Fiction (1992)",undefined
Sabaa Tahir,"
  4.27
",2015,"
      An Ember in the Ashes
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Brian Jacques,"
  4.10
",1986,"
      Redwall
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Kim Harrison,"
  4.03
",2004,"
      Dead Witch Walking
",,undefined
Don DeLillo,"
  3.87
",1985,"
      White Noise
",,undefined
John Grisham,"
  3.99
",1996,"
      The Runaway Jury
",,undefined
William Faulkner,"
  3.92
",1932,"
      Light in August
",,undefined
Munro Leaf,"
  4.35
",1936,"
      The Story of Ferdinand
",,undefined
Cynthia Hand,"
  4.02
",2011,"
      Unearthly
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011),undefined
Nicholas Sparks,"
  4.15
",2003,"
      The Guardian
",,undefined
Ki Longfellow,"
  4.35
",2013,"
      Walks Away Woman
",,undefined
M.M. Kaye,"
  4.21
",1978,"
      The Far Pavilions
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
E.M. Forster,"
  3.68
",1924,"
      A Passage to India
",,undefined
Alex Flinn,"
  3.83
",2007,"
      Beastly
","California Young Readers Medal Nominee for Young Adult (2012), Lincoln Award Nominee (2012), Missouri Gateway Readers Award Nominee (2010)",undefined
Philip K. Dick,"
  3.62
",1962,"
      The Man in the High Castle
",,undefined
James Patterson,"
  4.16
",2001,"
      Suzanne's Diary for Nicholas
",,undefined
Nicholas Sparks,"
  4.03
",2001,"
      A Bend in the Road
",,undefined
John Bunyan,"
  4.00
",1678,"
      The Pilgrim's Progress
",,undefined
Lauren Weisberger,"
  3.76
",2003,"
      The Devil Wears Prada
",,undefined
Richelle Mead,"
  4.36
",2013,"
      The Indigo Spell
",,undefined
Jeaniene Frost,"
  4.29
",2008,"
      At Grave's End
",,undefined
Melissa de la Cruz,"
  3.69
",2006,"
      Blue Bloods
",,undefined
Sarah J. Maas,"
  4.38
",2014,"
      The Assassin's Blade
",,undefined
Paulo Coelho,"
  3.70
",2003,"
      Eleven Minutes
",,undefined
Henrik Ibsen,"
  3.74
",1879,"
      A Doll's House
",,undefined
William Shakespeare,"
  3.79
",1593,"
      The Taming of the Shrew
",,undefined
William Shakespeare,"
  3.81
",1611,"
      The Tempest
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Arthur Conan Doyle,"
  4.15
",1887,"
      A Study in Scarlet
",,undefined
Ursula K. Le Guin,"
  4.20
",1974,"
      The Dispossessed
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Peter Høeg,"
  3.75
",1992,"
      Smilla's Sense of Snow
",,undefined
William Blake,"
  4.10
",1789,"
      Songs of Innocence and of Experience
",,undefined
James Fenimore Cooper,"
  3.70
",1826,"
      The Last of the Mohicans
",,undefined
Aimee Cabo Nikolov,"
  4.32
",2018,"
      Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love
",,undefined
Kenneth   Thomas,"
  4.25
",2020,"
      The Past
",,undefined
Neil Gaiman,"
  4.02
",2005,"
      Anansi Boys
","Locus Award for Best Fantasy Novel (2006), Mythopoeic Fantasy Award for Adult Literature (2006), Grand Prix de l'Imaginaire Nominee for Roman étranger (2007), ALA Alex Award (2006), British Fantasy Award for Best Novel (2006)",undefined
Sarah Dessen,"
  4.00
",2008,"
      Lock and Key
",,undefined
J.R. Ward,"
  4.12
",2008,"
      Lover Enshrined
","All About Romance (AAR) Annual Reader Poll for Best Paranormal Romance (2009), P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Vampire Romance (2008)",undefined
Augusten Burroughs,"
  3.73
",2002,"
      Running with Scissors
",,undefined
C.S. Lewis,"
  4.29
",1945,"
      The Great Divorce
",,undefined
Douglas R. Hofstadter,"
  4.28
",1979,"
      Gödel, Escher, Bach: An Eternal Golden Braid
",,undefined
John Ajvide Lindqvist,"
  4.03
",2004,"
      Let the Right One In
",James Tiptree Jr. Award Nominee (2008),undefined
Terry Pratchett,"
  4.21
",1996,"
      Hogfather
",British Fantasy Award Nominee for Best Novel (1997),undefined
Tabitha Suzuma,"
  4.03
",2010,"
      Forbidden
",,undefined
John Grisham,"
  4.02
",1993,"
      The Client
",,undefined
Sebastian Faulks,"
  4.09
",1993,"
      Birdsong: A Novel of Love and War
",Premio Internacional de Novela Histórica Ciudad de Zaragoza (2010),undefined
Gary Paulsen,"
  3.73
",1987,"
      Hatchet
","Newbery Medal Nominee (1988), Young Hoosier Book Award for 6-8 (1991), Buckeye Children's Book Award for 6-8 (1991), Massachusetts Children's Book Award (1995), Flicker Tale Children's Book Award (1990)
                      
                          Dorothy Canfield Fisher Children's Book Award (1989), Golden Archer Award (1989), Soaring Eagle Book Award (1997), Iowa Teen Award (1990), California Young Readers Medal Nominee for Middle School/Junior High (1990), Minnesota Book Award (1988), William Allen White Children's Book Award (1990), Bluestem Book Award Nominee (2016), Virginia Reader's Choice for Middle (1989), Oklahoma Sequoyah Award for YA (1990), Margaret A. Edwards Award (1997)",undefined
Jim Butcher,"
  3.99
",2000,"
      Storm Front
",,undefined
Shirley Jackson,"
  3.98
",1962,"
      We Have Always Lived in the Castle
",,undefined
Raymond E. Feist,"
  4.28
",1982,"
      Magician
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Jacqueline Susann,"
  3.76
",1966,"
      Valley of the Dolls
",,undefined
Colleen Hoover,"
  4.27
",2012,"
      Point of Retreat
",,undefined
C. Toni Graham,"
  4.32
",2012,"
      Crossroads and the Himalayan Crystals
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Beth Revis,"
  3.77
",2011,"
      Across the Universe
","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)",undefined
Andrea Cremer,"
  4.01
",2010,"
      Nightshade
",,undefined
Ruta Sepetys,"
  4.36
",2011,"
      Between Shades of Gray
",,undefined
Trenton Lee Stewart,"
  4.17
",2007,"
      The Mysterious Benedict Society
",,undefined
Traci Medford-Rosow,"
  4.33
",2018,"
      Unblinded: One Man’s Courageous Journey through Darkness to Sight
",,undefined
Amy Tan,"
  4.00
",1991,"
      The Kitchen God's Wife
",,undefined
Julie Kagawa,"
  4.20
",2011,"
      The Iron Queen
",Goodreads Choice Award Nominee for Goodreads Author (2011),undefined
George Orwell,"
  4.29
",1948,"
      Animal Farm / 1984
",,undefined
Sarah Waters,"
  4.00
",2002,"
      Fingersmith
",,undefined
Douglas Adams,"
  3.97
",1987,"
      Dirk Gently's Holistic Detective Agency
",,undefined
Ben Peller,"
  4.31
",2013,"
      To Live and Die in Fantasyland
",,undefined
Robert R. McCammon,"
  4.28
",1987,"
      Swan Song
",,undefined
V.E. Schwab,"
  4.06
",2015,"
      A Darker Shade of Magic
","Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2019), Tähtifantasia Award Nominee (2020), Goodreads Choice Award Nominee for Fantasy (2015)",undefined
Alexander Pushkin,"
  4.10
",1833,"
      Eugene Onegin
",,undefined
Stephenie Meyer,"
  3.51
",2009,"
      The Short Second Life of Bree Tanner
",Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book (2010),undefined
Claudia Gray,"
  3.64
",2008,"
      Evernight
",,undefined
Nicola Yoon,"
  4.05
",2015,"
      Everything, Everything
",,undefined
Herman Wouk,"
  4.36
",1971,"
      The Winds of War
",,undefined
John Fowles,"
  3.99
",1963,"
      The Collector
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Patricia Briggs,"
  4.11
",2008,"
      Cry Wolf
","P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) (2008), DABWAHA Romance Tournament for Best Paranormal/Urban Fantasy/SF Romance (2009)",undefined
Anne Rice,"
  3.75
",1995,"
      Memnoch the Devil
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Vincent Bugliosi,"
  4.04
",1974,"
      Helter Skelter: The True Story of the Manson Murders
",,undefined
Norman Maclean,"
  4.18
",1976,"
      A River Runs Through it and Other Stories
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Michael Crichton,"
  3.85
",1999,"
      Timeline
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Pablo Neruda,"
  4.27
",1924,"
      Twenty Love Poems and a Song of Despair
",,undefined
Samantha Young,"
  4.21
",2012,"
      On Dublin Street
",Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012),undefined
Sherman Alexie,"
  4.09
",2007,"
      The Absolutely True Diary of a Part-Time Indian
",,undefined
Julie Kagawa,"
  4.08
",2010,"
      The Iron Daughter
",,undefined
Simone Elkeles,"
  4.18
",2010,"
      Rules of Attraction
",,undefined
Rick Riordan,"
  4.53
",2008,"
      Percy Jackson and the Olympians
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Jon Scieszka,"
  4.19
",1992,"
      The Stinky Cheese Man and Other Fairly Stupid Tales
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
James Patterson,"
  4.15
",2006,"
      School's Out—Forever
",,undefined
Jean M. Auel,"
  3.99
",1982,"
      The Valley of Horses
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
James Patterson,"
  4.15
",2007,"
      Saving the World and Other Extreme Sports
",,undefined
Philip K. Dick,"
  4.01
",1977,"
      A Scanner Darkly
",,undefined
